config-name,ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_map_eff
system_2dc999ed-f112-4a27-9297-4a14ff1b57dc,4,5,5,5,5,is,93694,51.21082930909925
system_093decc7-2730-4f3c-af90-ab051f73477a,10,9,5,5,5,is,39552,43.36011042097992
system_2e2e3558-487c-474d-926d-265fc8b1fd52,3,6,5,5,5,ws,63799,86.00128266794937
system_2ae73bfc-9f09-4231-8ffb-d5a288a79e59,10,4,5,5,5,is,74667,51.20000000000012
system_1a0e55db-fd48-4611-a2ba-96bedaed3e9f,3,10,5,5,5,is,73269,45.46830759704331
system_58ecd16e-f8e1-4b53-91b6-63c41d7c9288,6,6,5,5,5,is,67475,47.4460032053393
system_e34981c3-888b-495c-836d-1d24c2d06c8d,9,3,5,5,5,os,52723,37.31862757627668
system_2256d83d-0095-4140-802b-2d8fb8a86b71,4,9,5,5,5,is,63766,45.88583259390712
system_4839a216-a038-47c9-93b2-a5eb79dea538,7,9,5,5,5,is,45478,45.075552926484576
system_648f7e74-1681-4463-9e0c-479cfac0af1f,4,3,5,5,5,os,98344,45.21604938271575
system_ec76e591-e7e5-45fe-8163-84a1521ce756,3,5,5,5,5,ws,77327,91.14702581369247
system_8be5946f-2a61-4172-9bc9-0361c04d2c45,5,8,5,5,5,is,61999,44.85583914108737
system_1f583da0-20d9-4adb-8799-e4a14d33a1b9,6,3,5,5,5,is,116829,56.91690267623877
system_01287c6b-7d9a-4b76-829f-b628c16453f8,5,3,5,5,5,os,81687,42.341733126969274
system_5f7be56d-ba77-4c23-b4d7-b2f34a9ef623,7,3,5,5,5,ws,60241,83.18468127991937
system_115ad5d5-2e35-410f-8335-9e45ad9d3477,3,8,5,5,5,is,82551,47.094227168902634
system_c8154d79-3545-419e-a9df-cc7960a36db3,7,4,5,5,5,ws,39233,92.08390022675738
system_49eabf5b-5e6e-40a2-9d3e-ebf822141896,9,3,5,5,5,is,92402,58.83183189776089
system_b2dca3c6-be68-4468-b0b5-08af711cdc57,6,7,5,5,5,ws,36646,74.50037792894936
system_56f3b2b1-8d3d-41e1-af01-76695ac071a6,8,9,5,5,5,os,24771,32.748132771602144
system_e95ea70d-a3c3-4855-a01f-6c65b178d0aa,7,6,5,5,5,os,33562,38.806315550511876
system_26ffed43-8b3f-4914-b46d-023282b36e65,8,10,5,5,5,os,24787,31.35824012936265
system_3c972109-ffc2-43db-b87b-c758cf8a81a7,4,7,5,5,5,os,53728,39.761904761905086
system_2bd56eb1-8bdf-41f5-9f2f-8f50a14c7dcf,9,5,5,5,5,ws,29871,88.57848324514991
system_0faf304a-5f5a-430f-9eac-baaf937b8ab0,8,6,5,5,5,os,31426,37.863685316016664
system_a79d7c9e-0b26-424c-968a-d14cbc993d6a,7,4,5,5,5,is,82803,52.97278911564638
system_c24d884b-7a67-4e42-90c5-b86f977f4fef,6,6,5,5,5,ws,36923,81.97883597883599
system_34cf3130-4215-4de1-a1ef-c5bf606e5284,8,5,5,5,5,os,38170,39.260679153753095
system_c94bba25-6d6e-44e6-96c8-c28efd65e699,3,9,5,5,5,ws,50195,75.74474907808242
system_2b1c3475-89c3-47d8-a942-3c8cdb37b9cb,8,6,5,5,5,ws,30433,84.04761904761907
system_5878f5ea-53a3-453a-86c4-a7be4f62b12f,6,9,5,5,5,os,30413,34.96071385882352
system_d8b655b8-75ae-4e73-8ba8-0188b6d29df5,8,9,5,5,5,ws,23590,73.80070546737214
system_0027f6c6-c4bb-4302-9a5a-76809703a519,5,7,5,5,5,ws,42808,75.81233872859491
system_7be771e4-5030-4f31-a9cd-8f66720644b7,6,3,5,5,5,os,71309,40.48981438792386
system_8c91c15f-0002-4458-a250-2755bfe8fa26,5,5,5,5,5,is,85657,49.44564101689985
system_fa0deced-a69b-4274-ade5-b4c25065ccee,8,4,5,5,5,ws,38292,93.54166666666667
system_ec6d78ca-28e4-4d2b-b07b-753ad3ac3123,7,7,5,5,5,os,33994,33.923391949029536
system_57f05a50-6ea5-4136-8f66-11747f322a42,10,7,5,5,5,ws,24067,73.25714285714284
system_1ba999a5-52e7-472c-af0f-e27b0f8f0ce3,7,6,5,5,5,ws,31295,82.53968253968254
system_31067125-3d68-47b3-811f-5933d65ab48a,8,5,5,5,5,ws,36930,89.5
system_90c4099b-8c22-49aa-8ca0-f21ffe81f19f,10,4,5,5,5,os,31799,45.22027168234065
system_9d210280-b0d0-42ad-bb29-72af1c19aa3b,6,10,5,5,5,is,48263,43.24442056028262
system_2aa8108c-5929-44c3-ae8b-25173daa584b,10,5,5,5,5,is,62424,48.328466329518264
system_9f982838-9665-4514-a1a1-94998a60de37,6,3,5,5,5,ws,71109,82.60591808739953
