names,objective1,objective2
system_449c9c05-781f-4f73-bc58-b7af3cda15d0.cfg,694.1364605815425,2.3630665527780375
system_1ea3d16c-253d-4a4f-982a-12e09f79ba4b.cfg,399.77754870753677,2.358519506222453
system_9d3f3005-f4ce-4131-951e-1e55e5ffc556.cfg,477.8962685062024,2.3059036385230653
system_e36b88bd-9f39-4896-b24d-a9a325c9b0b6.cfg,694.1364605815425,2.3630665527780375
system_372d5131-f99d-4535-982b-0f427fe1b505.cfg,399.77754870753677,2.358519506222453
system_124f16bf-c7c7-40f6-8e47-0e4e934ca858.cfg,477.8962685062024,2.3059036385230653
system_e68dbf29-b563-4ada-83a2-2ecb72d1db03.cfg,694.1364605815425,2.3630665527780375
system_7739ecd2-ff66-44a0-bd38-e2b4a26a419e.cfg,399.77754870753677,2.358519506222453
system_55d06a54-486b-4770-82d7-41d68b87c92f.cfg,477.8962685062024,2.3059036385230653
system_f72bbcc6-0904-4a2b-a7ce-ca449e996779.cfg,694.1364605815425,2.3630665527780375
system_a4d052b3-cba4-466f-9341-06a4abbc6743.cfg,399.77754870753677,2.358519506222453
system_9e8c3967-e8a3-4b1b-b174-f96ef0d285f6.cfg,477.8962685062024,2.3059036385230653
system_9e03b15e-9f5b-4217-8e0f-4bdd40bbc1f9.cfg,694.1364605815425,2.072929644789501
system_b35c2a44-80ae-46b8-9db6-57b59b70dd90.cfg,399.77754870753677,2.068382598233917
system_7e013ca3-297b-4f9a-8586-48f37c457aed.cfg,477.8962685062024,2.0157667305345286
system_b4778085-187f-48e1-aa84-9f94fd74f4ce.cfg,694.1364605815425,2.072929644789501
system_5725b6c6-e0d0-417d-845f-4130d23de8ad.cfg,399.77754870753677,2.068382598233917
system_151f99e8-c542-478d-b844-77c7bce22a71.cfg,477.8962685062024,2.0157667305345286
system_083e62c9-8c04-4c44-b7de-0f4c7e0cb2ee.cfg,694.1364605815425,2.072929644789501
system_3bde391f-172e-4580-877f-d7d9cd9ed8d0.cfg,399.77754870753677,2.068382598233917
system_547374bc-930c-4974-813f-8fb7d48002b4.cfg,477.8962685062024,2.0157667305345286
system_ddcecbc1-1a5d-4d9c-aeeb-e53fe20941b0.cfg,694.1364605815425,2.072929644789501
system_6fb07178-18a9-4489-bc95-ab7f358a79aa.cfg,399.77754870753677,2.068382598233917
system_ec3a0e65-270f-412c-a81c-6e3fb9b4427a.cfg,477.8962685062024,2.0157667305345286
system_088c1d6a-8ef6-4cd9-8781-8a093ef58a67.cfg,694.1364605815425,1.8498611856605105
system_28387fb7-632f-4534-8ce3-9658c3e141a8.cfg,399.77754870753677,1.845314139104926
system_79c2b4ee-802a-4fbf-9502-4628ded5de3b.cfg,477.8962685062024,1.792698271405538
system_5963da2a-f25e-4ca6-a060-ebb696ee6e0b.cfg,694.1364605815425,1.8498611856605105
system_54a31e3d-c139-4aaf-8a5e-4f68eb9a719e.cfg,399.77754870753677,1.845314139104926
system_e2a6d6ff-5ef8-4304-a9e7-97bd56e47928.cfg,477.8962685062024,1.792698271405538
system_5c7e3e7a-5f9f-47c2-849f-f7e2a2ef362c.cfg,694.1364605815425,1.8498611856605105
system_1b41e6a6-cdf3-4d6f-b26b-380b5bb5b3f8.cfg,399.77754870753677,1.845314139104926
system_a286b70f-84fd-4221-82bb-07c2252f649c.cfg,477.8962685062024,1.792698271405538
system_109a8dc8-e883-4724-abb2-adb8fc4a0bc7.cfg,694.1364605815425,1.8498611856605105
system_5c419a65-4a3c-4daa-b7dd-330344a2658a.cfg,399.77754870753677,1.845314139104926
system_6fcb99b4-ed68-4516-af3f-d3e05cd2ffc9.cfg,477.8962685062024,1.792698271405538
system_3a1f99cb-09b2-4135-9d05-70dbb8cad0f0.cfg,694.1364605815425,1.673015123417798
system_1d6eb365-0305-45a5-8d71-0838d51090bc.cfg,399.77754870753677,1.6684680768622133
system_eec638b4-93b0-4946-8b60-491eea1b6a12.cfg,477.8962685062024,1.6158522091628253
system_a9f60ad0-106e-404d-ae51-ebcf06b4ad6a.cfg,694.1364605815425,1.673015123417798
system_5c28822c-138f-41c9-bbcb-abd147ef4abe.cfg,399.77754870753677,1.6684680768622133
system_3f0c4a13-6d5d-4f28-b943-8aa7f43a4d51.cfg,477.8962685062024,1.6158522091628253
system_39392172-4adc-41e0-869d-d1c029882665.cfg,694.1364605815425,1.673015123417798
system_ee0d9ae6-9b01-49e2-8e56-ab106ea7f487.cfg,399.77754870753677,1.6684680768622133
system_f4bf2ff0-a08f-4461-b1aa-4c8ad4c73247.cfg,477.8962685062024,1.6158522091628253
system_db9c3575-0996-4116-a465-175556e6d4eb.cfg,694.1364605815425,1.673015123417798
system_0832e967-5055-46b8-8caa-62a00afe573e.cfg,399.77754870753677,1.6684680768622133
system_0bea8d2b-d0c1-4d9a-9d2a-ff628219fa19.cfg,477.8962685062024,1.6158522091628253
system_27756f00-43de-4144-986d-121cfc39f298.cfg,694.1364605815425,2.072929644789501
system_b643ac2a-a853-4f4f-89c3-53d34e90a524.cfg,399.68301861655016,2.0477041408305974
system_2c8e0266-3cef-43e6-bd44-c63eae245eff.cfg,477.99835937897825,2.038099108954253
system_b49ef63c-960e-49b9-91c6-477277d12a67.cfg,694.1364605815425,2.072929644789501
system_c1b8e080-8b76-480f-9712-434cce4eb5a5.cfg,399.68301861655016,2.0477041408305974
system_aedbe2ad-8fd7-4edb-a9ce-97f52ead9231.cfg,477.99835937897825,2.038099108954253
system_243142dc-ebbc-4fe7-afae-8c2af502b180.cfg,694.1364605815425,2.072929644789501
system_59baa850-0f16-4bde-9492-e43b8334ce19.cfg,399.68301861655016,2.0477041408305974
system_df8c2e60-baaf-4bd8-990b-bd1e5f2e3de6.cfg,477.99835937897825,2.038099108954253
system_641bfef8-527b-4937-b37e-c1e07877e081.cfg,694.1364605815425,2.072929644789501
system_3156062a-43bf-422f-a51d-c8f30d725716.cfg,399.68301861655016,2.0477041408305974
system_212eaab7-6813-4955-a197-332fe9a9b52e.cfg,477.99835937897825,2.038099108954253
system_ddb2e58d-013f-44f2-92b6-98c94a2174bc.cfg,694.1364605815425,1.8498611856605105
system_5bcf4150-43cd-4abb-9b0d-da03b7e0fa9e.cfg,399.68301861655016,1.8246356817016065
system_d76b285e-c7a2-4744-b5df-2267e1932cb6.cfg,477.99835937897825,1.8150306498252626
system_4e766433-90e6-4a06-93c6-af451c2c6766.cfg,694.1364605815425,1.8498611856605105
system_e7a693ce-5d8b-4a80-a48b-71a4f0afcef4.cfg,399.68301861655016,1.8246356817016065
system_ac5bd602-a588-4684-9ccf-da52e259f75d.cfg,477.99835937897825,1.8150306498252626
system_64aab59d-0be2-4802-b87f-aeace2a9542f.cfg,694.1364605815425,1.8498611856605105
system_aeaddf8f-4054-403c-8754-e7eff96a9aae.cfg,399.68301861655016,1.8246356817016065
system_7bdb1e39-0dec-404d-a91c-54fb837ff180.cfg,477.99835937897825,1.8150306498252626
system_4b09fbed-d48e-41ea-a362-02baedda1520.cfg,694.1364605815425,1.8498611856605105
system_bd0fb438-7164-4793-a0fe-097a513e695e.cfg,399.68301861655016,1.8246356817016065
system_20b55019-3858-48b6-aee8-6a6f6293c870.cfg,477.99835937897825,1.8150306498252626
system_f55f16b7-5aac-48db-b27b-83eb1b4f1084.cfg,694.1364605815425,1.673015123417798
system_3f52e265-d39d-49bf-87f1-12843d883106.cfg,399.68301861655016,1.647789619458894
