ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
3,7,1,3,2,ws,63736,78.23526267970719
10,7,4,4,2,is,49442,44.84609488568784
8,10,1,4,4,ws,22972,81.5
6,5,1,1,3,os,152270,41.977869986168955
7,4,2,2,2,os,116169,47.72227361496557
9,10,4,2,2,ws,18671,80.57848324514991
7,8,4,1,2,os,26091,37.27901120361805
5,6,4,2,3,os,43764,42.200639652542506
9,7,1,2,1,ws,24462,76.01578903166204
7,7,1,1,3,is,253038,46.567676151999095
4,6,3,1,1,os,52788,45.039682539682275
7,4,3,3,2,ws,39233,92.08390022675738
8,5,2,1,4,ws,41079,89.5
6,8,4,2,4,os,29301,38.72233748271093
10,5,1,2,2,os,165961,37.64288401253914
6,6,2,1,3,ws,41798,81.97883597883599
10,9,1,4,1,os,92360,31.42266894450797
5,3,2,4,1,os,95653,42.341733126969274
5,9,4,3,4,os,34625,36.60937659461297
8,10,1,1,1,ws,29577,81.5
7,8,3,4,3,is,62628,45.6329697759713
4,3,3,4,1,is,138751,59.259039715471246
8,3,2,4,1,os,105480,37.951868737533445
10,8,2,1,2,is,94110,43.91612990163044
4,10,4,4,1,is,60993,44.842274966412944
4,7,4,3,2,os,53882,39.761904761905086
5,7,2,3,1,ws,42808,75.81233872859491
10,9,3,3,4,is,42291,43.36011042097992
3,9,1,3,4,os,54193,43.2793499552379
4,6,2,1,3,is,83633,49.25903971547125
10,5,1,2,4,ws,29524,85.76
3,6,2,2,4,ws,63799,86.00128266794937
9,3,4,4,3,is,99292,58.83183189776089
3,10,2,4,2,is,73269,45.46830759704331
7,3,2,3,1,ws,60241,83.18468127991937
7,7,4,3,2,ws,30994,75.05021056041463
4,9,1,4,1,os,41909,39.144620811287666
3,3,1,4,1,ws,122421,86.68537224092783
5,7,3,4,3,is,73523,45.8246326250682
6,3,1,4,1,is,208546,56.91690267623877
7,6,3,1,1,ws,36377,82.53968253968254
10,10,2,1,4,is,57268,42.376426332288325
5,10,3,2,3,os,34929,35.964311951024975
6,4,2,2,3,ws,46267,91.49206349206348
3,5,2,4,4,ws,77327,91.14702581369247
10,3,3,3,4,ws,47187,81.26913580246917
6,10,2,2,1,ws,27847,79.22539682539683
9,8,4,2,3,os,22078,35.76432022084197
3,5,4,1,3,os,82743,51.97786998616893
5,6,3,2,3,is,74941,47.55145841424279
4,5,4,4,1,ws,60811,91.42857142857143
10,8,1,1,2,ws,25399,76.1
9,8,3,2,1,ws,19446,79.43562610229276
7,6,3,4,3,is,60369,48.247701846990566
9,10,1,2,1,ws,18671,80.57848324514991
7,8,1,4,1,is,246689,45.6329697759713
5,4,3,1,4,is,101511,52.43349753694592
5,9,3,3,1,ws,33446,73.04628109225811
10,3,3,3,2,is,95901,55.84177040110668
5,4,4,3,3,is,101511,52.43349753694592
3,3,4,3,3,os,126443,49.8931065689946
8,10,4,1,1,os,23856,31.35824012936265
3,5,3,4,2,os,82743,51.97786998616893
6,9,4,1,3,ws,34422,71.69888860894153
5,6,3,1,1,os,43796,42.200639652542506
8,8,2,1,2,os,37934,36.38530016170328
6,4,4,1,3,os,45767,49.41678192715536
4,10,4,2,1,os,42474,39.00000000000021
3,10,4,3,2,is,73717,45.46830759704331
6,3,2,1,2,is,142123,56.91690267623877
4,10,3,2,3,is,61253,44.842274966412944
8,9,4,2,4,os,23823,32.748132771602144
7,7,1,4,3,os,53385,33.923391949029536
7,5,3,2,3,os,66694,40.27305698721078
7,9,1,3,2,is,165971,45.075552926484576
6,6,4,3,2,ws,36923,81.97883597883599
5,6,2,4,3,os,48016,42.200639652542506
6,4,4,1,3,ws,49612,91.49206349206348
7,4,2,3,4,ws,39233,92.08390022675738
3,6,4,3,1,ws,63799,86.00128266794937
7,5,3,4,2,is,72139,50.080112406953795
8,4,4,4,3,is,83359,51.875
3,10,3,3,1,ws,49243,83.14702581369247
10,4,3,4,1,ws,30965,89.86666666666667
3,8,1,1,1,is,242795,47.094227168902634
7,6,3,1,1,os,51876,38.806315550511876
4,6,1,1,4,os,52788,45.039682539682275
5,6,2,1,2,os,48016,42.200639652542506
6,7,2,4,3,is,106673,45.75185066317613
5,6,3,2,3,ws,43031,83.32301196340605
5,5,1,4,3,is,253398,49.44564101689985
8,5,3,2,2,is,76496,48.80178333776948
10,4,1,3,4,os,166772,45.22027168234065
9,8,1,4,1,ws,19446,79.43562610229276
8,7,3,3,1,os,45996,33.03281870624542
8,10,2,2,4,is,61600,42.44153605015673
10,7,3,1,4,os,29136,31.633915509777523
7,10,3,1,4,is,46687,44.07962808948025
3,10,4,3,4,os,54934,43.97786998616895
10,7,3,1,1,is,58696,44.84609488568784
4,3,3,2,3,is,138751,59.259039715471246
8,8,4,2,4,ws,23011,79.375
10,4,4,2,2,os,36450,45.22027168234065
8,4,4,4,2,os,37204,46.784182275524415
10,10,3,4,4,is,42991,42.376426332288325
6,10,2,4,3,os,66085,33.977869986168926
7,8,3,1,3,ws,30361,78.31972789115646
9,4,2,3,4,ws,31471,93.40388007054673
8,5,3,4,3,os,59580,39.260679153753095
5,3,4,3,4,os,81687,42.341733126969274
3,7,4,1,4,os,69341,44.1059079233352
9,4,4,2,1,is,72167,54.144620811287474
7,10,1,2,1,os,38614,32.394637534323124
4,4,2,1,3,ws,68955,95.95238095238096
3,7,2,2,3,os,69341,44.1059079233352
8,8,4,1,3,ws,29163,79.375
5,9,2,2,2,os,35544,36.60937659461297
4,9,2,1,2,is,64892,45.88583259390712
3,4,3,2,2,is,129771,54.786756453423116
9,6,3,3,4,ws,24797,83.668430335097
5,9,4,4,4,is,57316,44.27614764046542
5,9,1,4,4,is,164759,44.27614764046542
7,8,1,1,4,is,246689,45.6329697759713
6,9,2,1,2,ws,34422,71.69888860894153
10,9,3,2,2,is,42291,43.36011042097992
4,9,1,3,2,is,165465,45.88583259390712
7,3,1,3,3,is,206111,57.64452724381605
3,3,1,1,3,is,203995,59.688012753941734
8,3,3,2,3,ws,57661,84.75308641975309
4,9,3,2,1,is,63968,45.88583259390712
6,9,1,2,4,is,164312,44.25182117935741
5,6,3,2,2,os,43796,42.200639652542506
5,10,1,3,2,is,253762,43.255029108822136
3,9,4,3,2,ws,50195,75.74474907808242
3,3,3,2,3,is,161859,59.688012753941734
5,9,2,4,2,ws,33446,73.04628109225811
4,10,4,3,2,is,60993,44.842274966412944
6,3,4,4,3,is,118135,56.91690267623877
10,4,4,4,4,is,75763,51.20000000000012
5,6,4,1,4,is,74941,47.55145841424279
4,7,1,1,3,is,252886,47.48664313088785
4,7,1,3,4,ws,49948,78.50340136054427
10,10,4,1,1,os,21249,29.788338557993676
7,5,3,1,4,ws,42258,87.4829931972789
3,3,4,2,3,ws,122421,86.68537224092783
3,6,2,1,1,ws,71426,86.00128266794937
6,8,4,4,1,is,55493,44.80954840724413
10,4,1,2,1,ws,30965,89.86666666666667
10,7,4,4,3,ws,24067,73.25714285714284
3,3,4,1,3,is,161859,59.688012753941734
8,5,3,1,1,is,76496,48.80178333776948
5,5,3,1,4,os,53389,43.93969656640958
10,6,4,3,2,ws,24427,80.70476190476191
8,4,1,1,4,os,85702,46.784182275524415
4,10,2,3,2,ws,38353,83.42857142857142
5,3,1,3,1,os,84070,42.341733126969274
5,3,3,3,4,os,81772,42.341733126969274
9,4,3,3,3,ws,31299,93.40388007054673
6,8,4,1,1,os,29355,38.72233748271093
10,9,3,4,4,is,42291,43.36011042097992
10,5,3,4,1,os,36656,37.64288401253914
8,10,3,4,4,os,31707,31.35824012936265
6,10,1,2,3,is,253298,43.24442056028262
5,10,4,1,3,ws,38600,80.63054187192118
6,7,1,1,3,ws,41911,74.50037792894936
3,5,3,2,1,os,82743,51.97786998616893
6,8,3,1,4,os,30783,38.72233748271093
7,10,2,4,2,ws,23635,79.64625850340137
9,3,1,3,2,is,207604,58.83183189776089
9,7,4,2,2,ws,24462,76.01578903166204
5,10,3,4,3,is,55748,43.255029108822136
6,8,1,2,2,os,86060,38.72233748271093
8,5,2,2,4,ws,36257,89.5
5,9,3,2,3,is,57623,44.27614764046542
6,6,3,3,3,is,67475,47.4460032053393
4,4,1,2,4,is,235526,54.28571428571429
7,4,3,2,4,ws,39233,92.08390022675738
3,9,3,3,4,ws,50195,75.74474907808242
8,4,3,3,2,ws,37717,93.54166666666667
3,10,2,3,3,ws,49243,83.14702581369247
9,3,4,4,2,os,52874,37.31862757627668
9,3,1,1,4,ws,50227,84.29551244366061
5,9,1,2,2,is,164759,44.27614764046542
8,6,1,3,3,os,66638,37.863685316016664
7,7,1,1,4,ws,36456,75.05021056041463
6,8,3,3,2,is,67686,44.80954840724413
10,3,1,2,2,is,207472,55.84177040110668
7,5,3,1,3,is,72139,50.080112406953795
4,8,3,4,2,is,76020,46.48853639286195
9,7,4,4,4,os,28693,32.43419106773139
3,8,2,3,1,ws,50066,81.6470258136925
4,9,3,2,1,os,41909,39.144620811287666
4,6,3,2,4,os,52788,45.039682539682275
5,9,1,2,4,ws,33446,73.04628109225811
3,9,2,1,3,is,77120,46.502878644585564
3,6,1,4,3,os,68007,49.65795077828307
10,9,3,1,4,ws,25435,70.49453262786595
9,5,1,4,4,is,251245,51.24031735704168
5,9,3,4,1,os,34625,36.60937659461297
3,6,2,1,3,ws,71426,86.00128266794937
3,6,1,1,3,ws,71426,86.00128266794937
5,4,4,2,3,ws,53679,92.8144499178982
3,3,1,4,1,is,203995,59.688012753941734
7,5,1,3,4,ws,37804,87.4829931972789
10,7,4,1,1,os,29078,31.633915509777523
8,10,2,2,2,is,61600,42.44153605015673
10,9,4,2,4,is,39664,43.36011042097992
7,4,1,4,2,os,69052,47.72227361496557
9,4,2,1,3,is,107176,54.144620811287474
4,7,2,2,1,os,86524,39.761904761905086
10,7,1,2,4,os,129097,31.633915509777523
3,9,1,3,1,ws,50195,75.74474907808242
8,8,3,1,3,os,32121,36.38530016170328
9,6,2,3,2,os,46161,37.24024231270621
3,4,4,1,3,is,129771,54.786756453423116
7,10,4,1,3,ws,29952,79.64625850340137
4,6,2,3,1,is,83633,49.25903971547125
10,8,4,4,1,is,43275,43.91612990163044
8,8,1,1,2,is,250457,44.08448153887616
5,5,4,1,4,os,53343,43.93969656640958
6,5,1,2,3,ws,44863,87.22539682539681
4,4,3,2,3,os,63515,54.16666666666667
7,4,2,4,1,os,116169,47.72227361496557
8,7,1,4,1,os,66426,33.03281870624542
3,7,2,3,3,is,89514,48.07661063596921
9,4,4,1,1,ws,35250,93.40388007054673
7,4,1,4,3,ws,39233,92.08390022675738
7,3,2,4,3,ws,60241,83.18468127991937
6,9,1,1,4,is,164312,44.25182117935741
5,6,1,2,3,os,46024,42.200639652542506
7,3,3,2,3,ws,60241,83.18468127991937
3,9,4,4,4,is,76926,46.502878644585564
6,3,3,1,1,ws,76287,82.60591808739953
5,7,2,4,4,is,111476,45.8246326250682
4,4,3,2,1,os,63515,54.16666666666667
7,7,1,1,4,os,53385,33.923391949029536
4,6,4,2,4,os,52961,45.039682539682275
10,10,4,4,2,is,49981,42.376426332288325
3,8,3,2,4,os,53226,47.47233748271093
6,5,4,3,1,is,77390,49.291084156136044
8,3,2,2,3,os,105480,37.951868737533445
5,6,3,3,3,os,43796,42.200639652542506
7,5,3,1,4,is,72139,50.080112406953795
7,6,1,3,1,os,53603,38.806315550511876
7,6,1,4,1,is,184398,48.247701846990566
5,10,3,4,3,os,34929,35.964311951024975
6,7,3,3,2,is,69998,45.75185066317613
5,6,2,3,2,is,76724,47.55145841424279
8,6,2,2,3,os,52770,37.863685316016664
5,8,1,3,2,os,36269,40.45538993878094
5,5,3,3,1,ws,52352,88.57536945812808
3,9,4,2,4,os,54193,43.2793499552379
6,5,3,1,3,os,51583,41.977869986168955
10,8,1,2,2,is,250880,43.91612990163044
8,5,4,2,3,os,37154,39.260679153753095
9,6,1,1,4,os,57323,37.24024231270621
9,3,3,2,1,ws,53451,84.29551244366061
5,5,3,1,1,os,53389,43.93969656640958
9,10,1,4,1,ws,18573,80.57848324514991
9,4,1,1,4,os,74150,46.22728318380493
8,3,4,4,1,ws,57559,84.75308641975309
6,7,3,2,4,is,69998,45.75185066317613
7,6,2,3,3,is,63535,48.247701846990566
6,6,1,4,3,is,180561,47.4460032053393
6,5,3,3,1,os,51583,41.977869986168955
6,6,2,3,2,os,94527,40.37223649256826
9,9,2,1,3,is,45471,46.21748502585862
10,4,3,4,1,is,76904,51.20000000000012
6,9,1,3,3,is,164312,44.25182117935741
6,3,4,2,3,os,70508,40.48981438792386
6,6,3,2,4,ws,36923,81.97883597883599
3,10,2,1,3,ws,54013,83.14702581369247
3,8,1,1,3,os,53304,47.47233748271093
3,3,4,4,3,os,126443,49.8931065689946
7,5,4,2,2,ws,37804,87.4829931972789
9,6,4,4,4,os,28443,37.24024231270621
3,9,2,4,4,os,54193,43.2793499552379
9,3,1,3,3,os,112188,37.31862757627668
3,9,1,2,3,ws,50195,75.74474907808242
7,10,2,3,3,os,59361,32.394637534323124
4,8,4,4,1,is,68725,46.48853639286195
6,9,3,2,2,is,51539,44.25182117935741
8,7,3,1,4,ws,35346,76.66666666666666
6,3,1,3,4,os,229529,40.48981438792386
8,8,2,2,3,ws,23011,79.375
6,7,1,3,2,is,253406,45.75185066317613
7,6,1,4,2,is,184398,48.247701846990566
4,4,1,3,4,is,235526,54.28571428571429
5,8,4,1,4,ws,38999,78.71674876847291
5,4,1,4,4,os,55227,51.257954041345045
7,5,1,3,4,is,251847,50.080112406953795
10,4,1,4,2,is,245244,51.20000000000012
5,8,1,4,2,ws,33461,78.71674876847291
6,5,1,3,4,is,253000,49.291084156136044
8,4,1,2,4,ws,38418,93.54166666666667
7,5,3,4,1,ws,37804,87.4829931972789
4,10,1,2,1,ws,38353,83.42857142857142
7,7,4,1,4,is,55761,46.567676151999095
6,5,2,3,2,os,123121,41.977869986168955
4,9,3,2,3,is,63968,45.88583259390712
10,3,3,2,2,os,62454,36.43709895893818
8,10,1,3,4,os,47376,31.35824012936265
6,9,1,2,4,os,86021,34.96071385882352
6,5,1,4,1,os,152270,41.977869986168955
5,10,2,3,1,is,69218,43.255029108822136
8,6,1,3,1,is,179773,46.851659751037346
4,7,2,2,1,is,115739,47.48664313088785
6,4,3,1,2,os,52277,49.41678192715536
5,3,4,1,2,ws,86124,83.96801070364288
6,8,3,1,3,ws,34342,77.32539682539684
6,6,4,4,2,os,37710,40.37223649256826
7,4,1,4,2,is,222228,52.97278911564638
5,9,3,3,2,os,34625,36.60937659461297
5,4,4,2,2,ws,53679,92.8144499178982
10,10,2,2,3,os,35838,29.788338557993676
4,9,2,1,4,os,58417,39.144620811287666
3,4,4,1,4,ws,84528,95.81369248035915
8,5,1,4,4,os,84928,39.260679153753095
7,5,3,2,2,ws,37804,87.4829931972789
4,6,3,4,3,os,52788,45.039682539682275
6,10,3,2,2,os,30435,33.977869986168926
9,5,1,2,4,is,251245,51.24031735704168
10,8,3,2,4,os,21974,34.98542319749216
10,10,4,3,3,ws,18167,78.08000000000001
4,3,3,4,3,is,138751,59.259039715471246
3,6,4,1,3,is,97977,49.83017511832632
4,3,4,3,2,os,98574,45.21604938271575
9,7,2,3,3,ws,24604,76.01578903166204
8,10,3,4,1,is,47359,42.44153605015673
8,3,2,4,2,is,135100,56.851659751037346
6,5,4,4,4,ws,44863,87.22539682539681
3,6,2,4,1,os,69251,49.65795077828307
5,9,1,1,1,is,164759,44.27614764046542
9,5,2,2,1,ws,30033,88.57848324514991
4,6,3,3,2,ws,50103,86.19047619047618
10,4,3,1,1,ws,35072,89.86666666666667
6,8,3,3,2,os,30729,38.72233748271093
5,9,2,3,2,ws,33446,73.04628109225811
4,5,2,2,3,is,127977,51.21082930909925
6,4,1,2,1,os,152991,49.41678192715536
3,6,2,3,4,os,69251,49.65795077828307
10,3,1,2,3,os,252418,36.43709895893818
9,4,2,4,1,is,107176,54.144620811287474
5,9,2,1,3,is,58589,44.27614764046542
6,4,2,4,1,is,94047,52.2063492063492
4,8,4,2,1,os,41348,43.125
8,4,3,4,2,ws,37717,93.54166666666667
7,7,3,2,3,os,51689,33.923391949029536
8,9,4,2,1,ws,22921,73.80070546737214
5,7,1,3,1,is,253907,45.8246326250682
8,8,3,4,3,os,32083,36.38530016170328
5,9,1,1,4,os,36762,36.60937659461297
9,5,4,1,3,is,60181,51.24031735704168
4,8,4,2,1,is,68725,46.48853639286195
9,5,1,3,4,is,251245,51.24031735704168
7,4,1,3,4,is,222228,52.97278911564638
9,4,4,1,1,os,34800,46.22728318380493
10,7,3,2,3,ws,24067,73.25714285714284
9,10,3,2,4,os,22336,30.611456176673517
3,8,4,1,3,ws,54424,81.6470258136925
6,3,4,3,2,is,118135,56.91690267623877
10,6,4,3,1,is,53571,46.508437067773166
8,5,1,3,2,os,84928,39.260679153753095
10,7,1,3,4,is,252269,44.84609488568784
4,4,2,3,3,ws,62081,95.95238095238096
7,8,2,4,1,os,59715,37.27901120361805
10,3,3,2,3,ws,47187,81.26913580246917
8,8,4,4,4,ws,23011,79.375
7,10,2,1,4,os,59361,32.394637534323124
6,6,2,3,3,ws,36923,81.97883597883599
5,10,2,1,4,os,35343,35.964311951024975
9,3,3,3,4,ws,53451,84.29551244366061
5,5,2,4,4,is,122952,49.44564101689985
10,3,2,4,2,os,101167,36.43709895893818
3,3,3,4,2,ws,122421,86.68537224092783
6,7,3,1,1,ws,41911,74.50037792894936
10,7,3,4,3,os,29136,31.633915509777523
5,5,1,2,2,os,55644,43.93969656640958
8,3,4,2,2,is,108242,56.851659751037346
3,9,3,2,2,os,54193,43.2793499552379
10,8,1,4,4,ws,19033,76.1
3,9,1,1,4,os,54193,43.2793499552379
6,9,2,4,2,is,52562,44.25182117935741
3,3,4,1,4,is,161859,59.688012753941734
3,8,4,2,2,os,53226,47.47233748271093
8,7,4,3,2,ws,29461,76.66666666666666
6,3,1,4,1,os,229529,40.48981438792386
3,3,2,4,2,os,148653,49.8931065689946
8,9,3,3,4,os,32013,32.748132771602144
4,10,3,4,1,ws,38353,83.42857142857142
3,6,3,4,3,ws,63799,86.00128266794937
6,5,1,4,4,is,253000,49.291084156136044
3,7,1,4,4,os,69341,44.1059079233352
5,5,2,1,2,os,60709,43.93969656640958
4,4,2,1,3,os,114530,54.16666666666667
7,3,3,1,3,is,105400,57.64452724381605
7,5,1,4,3,is,251847,50.080112406953795
6,7,3,2,2,ws,36646,74.50037792894936
5,3,3,1,2,os,81772,42.341733126969274
3,3,1,1,2,os,126443,49.8931065689946
4,8,1,4,4,ws,39175,81.78571428571429
8,6,4,1,1,ws,35187,84.04761904761907
9,4,2,2,2,os,60000,46.22728318380493
6,7,4,4,3,ws,36646,74.50037792894936
4,8,3,2,4,ws,39175,81.78571428571429
7,5,3,2,3,ws,37804,87.4829931972789
4,3,2,3,1,ws,96357,86.89594356261023
9,10,4,4,1,is,49279,45.21145334018895
10,8,3,2,1,is,58664,43.91612990163044
8,3,1,2,2,ws,58360,84.75308641975309
10,5,1,2,3,os,165961,37.64288401253914
7,9,2,1,2,ws,30412,72.63290501385741
5,10,2,4,3,is,69218,43.255029108822136
10,5,2,2,2,ws,29524,85.76
3,4,1,3,4,ws,78553,95.81369248035915
5,7,4,1,3,os,44468,37.09714691306419
6,6,2,1,4,ws,41798,81.97883597883599
8,9,4,1,1,os,23823,32.748132771602144
10,4,1,1,4,os,166772,45.22027168234065
6,8,2,4,4,os,66427,38.72233748271093
4,3,1,3,1,is,206409,59.259039715471246
8,4,1,4,2,ws,38418,93.54166666666667
7,4,3,3,3,ws,39233,92.08390022675738
5,8,3,3,3,is,72073,44.85583914108737
8,8,1,1,3,is,250457,44.08448153887616
6,7,3,3,3,os,40557,35.375749193176745
7,9,1,3,1,ws,24438,72.63290501385741
5,5,2,3,4,is,122952,49.44564101689985
8,10,4,3,1,ws,22178,81.5
4,9,3,3,3,os,41909,39.144620811287666
6,6,4,1,4,os,37710,40.37223649256826
4,9,2,1,2,ws,44446,75.94356261022925
5,6,2,1,2,ws,47861,83.32301196340605
10,3,2,1,1,os,101167,36.43709895893818
8,9,3,1,4,is,45396,43.483436853002075
8,9,2,2,4,os,37825,32.748132771602144
5,8,4,1,2,ws,38999,78.71674876847291
7,9,3,3,3,ws,24438,72.63290501385741
9,4,2,1,1,os,60000,46.22728318380493
7,5,4,4,2,is,69423,50.080112406953795
3,8,3,2,3,ws,50066,81.6470258136925
7,10,3,1,2,is,46687,44.07962808948025
9,9,2,4,2,is,45471,46.21748502585862
8,10,1,1,2,ws,29577,81.5
9,7,1,1,3,is,252386,47.70967598332034
10,8,4,3,4,ws,19033,76.1
3,7,3,4,2,is,89621,48.07661063596921
5,9,3,3,3,is,57623,44.27614764046542
3,6,1,3,1,ws,63799,86.00128266794937
5,4,4,1,1,ws,60870,92.8144499178982
5,10,4,2,3,ws,32625,80.63054187192118
7,3,3,4,3,ws,60241,83.18468127991937
7,7,2,3,3,ws,30994,75.05021056041463
7,10,2,3,3,is,60880,44.07962808948025
8,3,4,2,1,ws,57559,84.75308641975309
5,9,3,1,3,ws,39089,73.04628109225811
3,3,1,2,3,ws,122421,86.68537224092783
3,3,2,4,4,os,148653,49.8931065689946
5,8,4,2,3,ws,33461,78.71674876847291
5,5,1,4,3,ws,52352,88.57536945812808
4,9,3,1,4,os,41909,39.144620811287666
3,8,2,3,3,is,120676,47.094227168902634
10,10,4,3,2,os,21249,29.788338557993676
5,8,4,4,4,ws,33461,78.71674876847291
7,4,4,1,3,ws,42745,92.08390022675738
8,3,3,3,4,ws,57661,84.75308641975309
9,3,1,4,2,is,207604,58.83183189776089
6,5,1,3,1,os,152270,41.977869986168955
8,6,2,3,1,ws,29761,84.04761904761907
4,9,2,2,4,os,58417,39.144620811287666
3,3,2,2,4,ws,122421,86.68537224092783
7,8,4,4,3,ws,24517,78.31972789115646
10,3,3,2,2,ws,47187,81.26913580246917
3,6,3,2,3,os,68007,49.65795077828307
8,8,3,3,2,ws,23098,79.375
6,7,1,2,3,is,253406,45.75185066317613
10,6,2,2,1,ws,24427,80.70476190476191
4,4,2,4,3,ws,62081,95.95238095238096
4,3,1,3,2,is,206409,59.259039715471246
3,9,3,1,3,ws,54152,75.74474907808242
8,10,1,1,1,is,252466,42.44153605015673
6,3,3,4,3,is,116829,56.91690267623877
5,10,4,1,2,ws,38600,80.63054187192118
9,8,1,2,3,os,41714,35.76432022084197
6,9,3,3,3,os,30698,34.96071385882352
8,9,3,4,3,ws,23005,73.80070546737214
8,8,4,4,2,is,49003,44.08448153887616
4,3,2,4,1,ws,96357,86.89594356261023
5,10,1,2,4,ws,32625,80.63054187192118
3,10,2,4,3,ws,49243,83.14702581369247
7,4,2,4,3,is,108923,52.97278911564638
9,4,3,4,1,is,74888,54.144620811287474
7,5,3,3,4,is,72139,50.080112406953795
5,7,4,2,1,ws,42808,75.81233872859491
9,6,2,1,3,is,63689,49.4020846902359
7,3,4,4,1,is,106805,57.64452724381605
10,6,4,4,2,is,53571,46.508437067773166
4,10,1,4,2,is,254528,44.842274966412944
8,5,1,2,3,os,84928,39.260679153753095
6,3,2,3,4,ws,71109,82.60591808739953
4,6,4,3,3,ws,50103,86.19047619047618
7,6,2,2,4,ws,31295,82.53968253968254
4,8,4,3,2,os,41348,43.125
9,8,3,1,4,os,22287,35.76432022084197
6,5,2,4,3,ws,44863,87.22539682539681
5,8,4,1,4,is,61999,44.85583914108737
9,3,1,2,1,is,207604,58.83183189776089
5,7,1,4,2,ws,42808,75.81233872859491
8,10,4,3,3,is,47480,42.44153605015673
4,8,4,3,1,is,68725,46.48853639286195
6,10,3,4,1,ws,27847,79.22539682539683
8,4,2,2,3,ws,37618,93.54166666666667
10,7,2,4,2,is,96878,44.84609488568784
5,7,4,4,3,ws,42808,75.81233872859491
9,4,4,2,3,ws,31299,93.40388007054673
9,8,4,1,4,is,42271,46.77315934783481
6,7,1,2,4,is,253406,45.75185066317613
4,10,2,4,1,os,58181,39.00000000000021
5,6,2,4,4,os,48016,42.200639652542506
8,8,2,1,1,ws,29163,79.375
8,8,1,2,4,is,250457,44.08448153887616
10,9,4,3,2,os,21519,31.42266894450797
4,9,4,4,2,os,42025,39.144620811287666
7,3,3,4,1,os,104097,38.90709660367362
5,4,2,4,3,ws,53679,92.8144499178982
3,5,1,3,3,is,254784,51.754025870750276
9,10,3,1,2,os,22336,30.611456176673517
6,3,4,2,3,ws,71109,82.60591808739953
3,7,4,1,1,ws,65925,78.23526267970719
5,9,4,3,4,ws,33446,73.04628109225811
9,10,4,1,1,is,49279,45.21145334018895
7,7,4,3,4,is,55761,46.567676151999095
8,7,4,2,4,is,55558,45.08424738998285
8,5,1,3,3,is,252189,48.80178333776948
6,4,2,2,1,ws,46267,91.49206349206348
8,3,2,1,2,ws,59994,84.75308641975309
9,3,2,4,1,is,92402,58.83183189776089
9,6,4,1,1,os,28443,37.24024231270621
10,4,2,1,4,is,108058,51.20000000000012
8,5,4,3,2,is,69586,48.80178333776948
4,10,1,4,4,os,42377,39.00000000000021
10,6,4,1,3,os,29213,36.36655222172475
8,8,1,1,3,os,47834,36.38530016170328
7,4,2,4,2,is,108923,52.97278911564638
4,4,1,4,1,ws,62081,95.95238095238096
3,5,1,3,1,os,82743,51.97786998616893
10,4,4,3,4,is,75763,51.20000000000012
9,5,2,2,2,os,59242,38.611456176673535
5,9,3,1,1,is,57623,44.27614764046542
5,4,2,3,4,ws,53679,92.8144499178982
8,8,2,4,4,is,99120,44.08448153887616
10,4,2,4,3,is,108058,51.20000000000012
7,7,1,1,4,is,253038,46.567676151999095
9,3,1,2,4,ws,47785,84.29551244366061
5,10,2,3,2,is,69218,43.255029108822136
10,3,4,2,3,is,97570,55.84177040110668
6,8,1,2,1,ws,28713,77.32539682539684
3,3,4,3,4,os,126443,49.8931065689946
3,8,1,1,2,ws,54424,81.6470258136925
6,8,2,2,2,os,66427,38.72233748271093
6,7,2,2,1,os,94355,35.375749193176745
10,6,4,1,1,ws,30062,80.70476190476191
6,5,3,1,1,is,77787,49.291084156136044
9,4,1,3,4,ws,31299,93.40388007054673
8,4,4,1,1,is,83359,51.875
9,9,1,3,2,is,165393,46.21748502585862
6,10,3,4,3,ws,27847,79.22539682539683
7,7,1,4,3,ws,30994,75.05021056041463
10,5,4,2,1,is,62085,48.328466329518264
7,7,2,4,3,os,87443,33.923391949029536
3,9,3,2,3,is,76978,46.502878644585564
4,8,2,1,4,os,58495,43.125
3,5,3,4,2,is,110802,51.754025870750276
6,4,3,3,4,os,52277,49.41678192715536
5,9,4,4,4,ws,33446,73.04628109225811
4,6,1,1,1,os,52788,45.039682539682275
7,6,1,2,2,os,53603,38.806315550511876
10,9,2,4,2,os,36166,31.42266894450797
4,4,4,4,2,os,63726,54.16666666666667
4,9,1,3,1,is,165465,45.88583259390712
10,10,1,2,3,ws,18414,78.08000000000001
5,10,2,2,3,ws,32625,80.63054187192118
8,3,3,3,4,is,106606,56.851659751037346
4,5,4,3,1,os,64480,47.000000000000206
5,6,3,2,3,os,43796,42.200639652542506
4,6,3,2,1,is,82371,49.25903971547125
6,3,4,2,4,os,70508,40.48981438792386
7,5,1,2,2,ws,37804,87.4829931972789
6,10,3,2,4,is,51139,43.24442056028262
4,6,2,3,2,ws,50103,86.19047619047618
7,5,4,4,4,os,40961,40.27305698721078
4,9,1,4,1,is,165465,45.88583259390712
10,9,4,2,2,is,39664,43.36011042097992
6,5,3,2,4,os,51583,41.977869986168955
7,7,4,1,2,os,33994,33.923391949029536
3,5,2,1,4,os,90139,51.97786998616893
4,8,1,2,3,os,41213,43.125
9,6,2,1,3,ws,30439,83.668430335097
6,10,4,3,3,ws,27847,79.22539682539683
8,7,4,1,4,os,30752,33.03281870624542
10,6,3,1,1,ws,30062,80.70476190476191
5,8,3,4,4,ws,33461,78.71674876847291
