Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
GEMM,"[1, 128, 128, 512]",M,0.35098705272988534,113.66666666666667,0.00040554921096345515,444.0763860049834,16.760832,0.0625,0.0625,0.015625,0.140625,41.328725458944,155.86506191082802,444.0763860049834
GEMM,"[1, 128, 10240, 128]",M,0.7776839226338287,126.7080745341615,0.0036499428986710965,3996.6874740448507,334.2336,0.015625,1.25,1.25,2.515625,91.57228189013333,3108.159592356688,3996.6874740448507
GEMM,"[1, 128, 1, 10240]",M,0.7904542360178141,1.9842069566902432,2.816313965023994e-05,30.838637917012736,2.621312,1.25,0.009765625,0.0001220703125,1.2598876953125,93.07598629109759,24.376531974522294,30.838637917012736
GEMM,"[1, 128, 64, 1]",M,0.003063925714343949,0.9770992366412213,2.270653134300595e-05,24.863651820591517,0.008192,0.0001220703125,6.103515625e-05,0.0078125,0.00799560546875,0.360777252864,0.07618038216560509,24.863651820591517
GEMM,"[1, 128, 128, 64]",M,0.3921585545163822,63.5,4.5061023440383906e-05,49.341820667220375,2.080768,0.0078125,0.0078125,0.015625,0.03125,46.176669794304,19.349817070063697,49.341820667220375
GEMM,"[1, 128, 256, 128]",M,0.3937024858333758,102.0,0.00018024409376153562,197.3672826688815,8.35584,0.015625,0.03125,0.03125,0.078125,46.35846770688,77.7039898089172,197.3672826688815
