Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[64, 512, 4096]",M,0.026427979303384617,8.504150390625,0.7382798080472499,808416.3898117386,2282.815488,128.0,0.0,128.0,256.0,3.092073578496,21364.81161846154,808416.3898117386
attention,"[64, 512, 4096, 4096]",C,34.837811822119384,11210.315689086914,30.542562966974355,33444106.448836923,3573479.867136,128.0,48.0,128.0,304.0,117.0,33444106.448836923,959994.4629014395
GEMM,"[64, 512, 11008, 4096]",C,17.002828162212115,5471.269902912622,25.25279307268376,27651808.41458872,2954576.789504,128.0,43.0,344.0,515.0,117.0,27651808.41458872,1626306.4091915837
GEMM,"[64, 512, 4096, 11008]",C,17.004131567709297,5471.689320388349,25.254728905299146,27653928.151302565,2954803.28192,344.0,43.0,128.0,515.0,117.0,27653928.151302565,1626306.4091915837
layer_norm,"[64, 512, 4096]",M,0.026427979303384617,8.504150390625,0.7382798080472499,808416.3898117386,2282.815488,128.0,0.0,128.0,256.0,3.092073578496,21364.81161846154,808416.3898117386
SoftMax,"[32768, 4096]",M,0.03884532846276923,12.4998779296875,0.7382798080472499,808416.3898117386,3355.410432,128.0,0.0,128.0,256.0,4.544903430144,31403.200196923073,808416.3898117386
