Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[4, 512, 4096]",M,0.006848446464000001,8.504150390625,2.4509803921568625,1531862.7450980393,142.675968,8.0,0.0,8.0,16.0,0.058211794944,10490.880000000001,1531862.7450980393
attention,"[4, 512, 4096, 4096]",C,2.6801099003520004,3328.0624701976776,26.275587258352942,16422242.036470588,223342.491696,8.0,48.0,8.0,64.0,8.499999999999998,16422242.036470588,6127450.980392157
GEMM,"[4, 512, 11008, 4096]",C,1.9561335985681652,2429.055172413793,21.724829334588232,13578018.334117645,184661.049344,8.0,43.0,21.5,72.5,8.500000000000002,13578018.334117645,6941253.06372549
GEMM,"[4, 512, 4096, 11008]",C,1.9562835521677244,2429.2413793103447,21.726494719999998,13579059.2,184675.20512,21.5,43.0,8.0,72.5,8.5,13579059.2,6941253.063725489
layer_norm,"[4, 512, 4096]",M,0.006848446464000001,8.504150390625,2.4509803921568625,1531862.7450980393,142.675968,8.0,0.0,8.0,16.0,0.058211794944,10490.880000000001,1531862.7450980393
SoftMax,"[2048, 4096]",M,0.010066231296,12.4998779296875,2.4509803921568625,1531862.7450980393,209.713152,8.0,0.0,8.0,16.0,0.085562966016,15420.084705882355,1531862.7450980393
