Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[4, 1, 2048]",M,0.0068517888,8.50830078125,0.002393535539215686,1495.959712009804,0.1394,0.0078125,0.0,0.0078125,0.015625,0.0582402048,10.25,1495.959712009804
attention,"[4, 1, 12288, 2048]",M,0.006437563307064512,7.993930711180608,11.037789139093139,6898618.211933212,603.979964,0.0078125,72.0,0.046875,72.0546875,0.05471928811004835,44410.29147058824,6898618.211933212
GEMM,"[4, 1, 49152, 12288]",M,0.0064395685328560975,7.996420727243146,88.27119715073529,55169498.21920956,4831.6416,0.046875,576.0,0.1875,576.234375,0.05473633252927682,355267.76470588235,55169498.21920956
GEMM,"[4, 1, 12288, 49152]",M,0.006439765060888636,7.996664768567477,88.27119715073529,55169498.21920956,4831.789056,0.1875,576.0,0.046875,576.234375,0.054738003017553404,355278.6070588235,55169498.21920956
layer_norm,"[4, 1, 12288]",M,0.00684621824,8.501383463541666,0.014361213235294119,8975.758272058825,0.83572,0.046875,0.0,0.046875,0.09375,0.05819285503999999,61.45,8975.758272058825
SoftMax,"[4, 12288]",M,0.010066296832,12.499959309895834,0.014361213235294119,8975.758272058825,1.228796,0.046875,0.0,0.046875,0.09375,0.08556352307199998,90.35264705882354,8975.758272058825
