Op Type,Dimension,Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,Num ops (MFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Compute Cycles,Memory Cycles
layer_norm,"[64, 1, 2048]",M,0.026440877292307693,8.50830078125,0.0007209763750461425,789.469130675526,2.2304,0.125,0.0,0.125,0.25,3.0935826432,20.87425641025641,789.469130675526
attention,"[64, 1, 12288, 2048]",M,0.39300408058886077,126.46316114788807,0.21016461332595054,230130.25159191585,9663.679424,0.125,72.0,0.75,72.875,45.98147742889671,90442.1279425641,230130.25159191585
GEMM,"[64, 1, 49152, 12288]",M,0.39519100421757386,127.16688227684347,1.6719442137320044,1830778.9140365447,77306.2656,0.75,576.0,3.0,579.75,46.23734749345615,723507.3575384615,1830778.9140365447
GEMM,"[64, 1, 12288, 49152]",M,0.3952030649806731,127.17076326002588,1.6719442137320044,1830778.9140365447,77308.624896,3.0,576.0,0.75,579.75,46.23875860273875,723529.4381292308,1830778.9140365447
layer_norm,"[64, 1, 12288]",M,0.026419380644102562,8.501383463541666,0.004325858250276855,4736.814784053156,13.37152,0.75,0.0,0.75,1.5,3.09106753536,125.1437128205128,4736.814784053156
SoftMax,"[64, 12288]",M,0.03884558136451282,12.499959309895834,0.004325858250276855,4736.814784053156,19.660736,0.75,0.0,0.75,1.5,4.544933019648,184.0043241025641,4736.814784053156
